[350, 394] [0.7458808063890338, 0.33693454636757175] 0.48308855295181274
[103, 387] [0.3701460494858799, 0.6668977436478237] 0.6684668958187103
[329, 276] [0.35679439751629904, 0.7572629613566677] 0.7052489519119263
[146, 110] [0.7738595184046647, 0.35477193101962545] 0.4571443349123001
[390, 352] [0.36737454150531057, 0.3545976995957161] 0.40519291162490845
[417, 112] [0.8436444832463246, 0.8878594598664571] 0.5844613909721375
[496, 205] [0.8114241457206781, 0.7570261648100675] 0.4614916443824768
[398, 279] [0.6149084116494287, 0.1717373342674985] 0.4600877910852432
[222, 215] [0.32291379222717675, 0.37133215628089766] 0.42159999907016754
[116, 219] [0.5730761333697005, 0.8613168049507698] 0.42387111485004425
[89, 417] [0.21304714173251693, 0.2613819033250472] 0.5833702683448792
[253, 147] [0.3491503837882204, 0.5591503460262713] 0.42006823420524597
[139, 308] [0.7055381259580187, 0.1788602329132142] 0.3899886757135391
[253, 198] [0.5568244722092036, 0.6292043675549477] 0.4468552768230438
[223, 223] [0.3665652112204295, 0.17576292034387536] 0.4526765048503876
[82, 471] [0.8465847216571439, 0.3910069881201189] 0.5469702780246735
[288, 279] [0.5037428645401919, 0.659675942164775] 0.4901859909296036
[409, 410] [0.4562517462199137, 0.5411239542938495] 0.4328500032424927
[267, 327] [0.8081120499797949, 0.7604589472588581] 0.4473852515220642
[309, 466] [0.5701539497544242, 0.8885457261524166] 0.5220019221305847
[453, 289] [0.4091354655352535, 0.6593756426118265] 0.39202773571014404
[69, 367] [0.2413766970059159, 0.20978219382406646] 0.5997428596019745
[103, 307] [0.3978577478727282, 0.8879024468189631] 0.6146243214607239
[286, 76] [0.8177321640010664, 0.8850040432527948] 0.5040905028581619
[328, 306] [0.5039397585847215, 0.696142751885513] 0.47987645864486694
[237, 177] [0.38647512588917954, 0.41698683928557434] 0.32087327539920807
[70, 329] [0.8889025444439538, 0.18214267577295065] 0.4712415784597397
[145, 175] [0.2770190372658977, 0.7694285393465643] 0.529296413064003
[463, 421] [0.13813824527214136, 0.8154127437183732] 0.4943079352378845
[186.0  145.0] [0.6409476861628389  0.2837212611711759] 0.327978029847,,
